Variable;lbl;lbl2
nb_73;Nombre d'établissements - Publicité et études de marché;nb_73 : Nombre d'établissements - Publicité et études de marché
nb_74;Nombre d'établissements - Autres activités spécialisées, scientifiques et techniques;nb_74 : Nombre d'établissements - Autres activités spécialisées, scientifiques et techniques
nb_75;Nombre d'établissements - Activités vétérinaires;nb_75 : Nombre d'établissements - Activités vétérinaires
nb_77;Nombre d'établissements - Activités de location et location-bail;nb_77 : Nombre d'établissements - Activités de location et location-bail
nb_78;Nombre d'établissements - Activités liées à l'emploi;nb_78 : Nombre d'établissements - Activités liées à l'emploi
nb_79;Nombre d'établissements - Activités des agences de voyage, voyagistes, services de réservation et activités connexes;nb_79 : Nombre d'établissements - Activités des agences de voyage, voyagistes, services de réservation et activités connexes
nb_80;Nombre d'établissements - Enquêtes et sécurité;nb_80 : Nombre d'établissements - Enquêtes et sécurité
nb_81;Nombre d'établissements - Services relatifs aux bƒtiments et aménagement paysager;nb_81 : Nombre d'établissements - Services relatifs aux bƒtiments et aménagement paysager
nb_82;Nombre d'établissements - Activités administratives et autres activités de soutien aux entreprises;nb_82 : Nombre d'établissements - Activités administratives et autres activités de soutien aux entreprises
nb_84;"Nombre d'établissements - Administration publique et défense ; sécurité sociale obligatoire";"nb_84 : Nombre d'établissements - Administration publique et défense ; sécurité sociale obligatoire"
nb_85;Nombre d'établissements - Enseignement;nb_85 : Nombre d'établissements - Enseignement
nb_86;Nombre d'établissements - Activités pour la santé humaine;nb_86 : Nombre d'établissements - Activités pour la santé humaine
nb_87;Nombre d'établissements - Hébergement médico-social et social;nb_87 : Nombre d'établissements - Hébergement médico-social et social
nb_88;Nombre d'établissements - Action sociale sans hébergement;nb_88 : Nombre d'établissements - Action sociale sans hébergement
nb_90;Nombre d'établissements - Activités créatives, artistiques et de spectacle;nb_90 : Nombre d'établissements - Activités créatives, artistiques et de spectacle
nb_91;Nombre d'établissements - Bibliothèques, archives, musées et autres activités culturelles;nb_91 : Nombre d'établissements - Bibliothèques, archives, musées et autres activités culturelles
nb_92;Nombre d'établissements - Organisation de jeux de hasard et d'argent;nb_92 : Nombre d'établissements - Organisation de jeux de hasard et d'argent
nb_93;Nombre d'établissements - Activités sportives, récréatives et de loisirs;nb_93 : Nombre d'établissements - Activités sportives, récréatives et de loisirs
nb_94;Nombre d'établissements - Activités des organisations associatives;nb_94 : Nombre d'établissements - Activités des organisations associatives
nb_95;Nombre d'établissements - Réparation d'ordinateurs et de biens personnels et domestiques;nb_95 : Nombre d'établissements - Réparation d'ordinateurs et de biens personnels et domestiques
