NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
CINE CARBONNE;BOIS DE CASTRES;31390;CARBONNE;31;MIDI-PYRENEES;206;338;De 5 à 10 000 entrées
IDEAL CINEMA;10 RUE EMILE VAMBROUK;59580;ANICHE;59;NORD-PAS-DE-CALAIS;206;590;De 20 à 30 000 entrées
FANNY;ST FRANCOIS LONGCHAMP;73130;SAINT-FRANCOIS-LONGCHAMP;73;RHONE-ALPES;206;191;De 2 à 5 000 entrées
LE MONTAGNARD;RUE DE VERDUN;44620;LA MONTAGNE;44;PAYS-DE-LA-LOIRE;205;451;De 10 à 20 000 entrées
CINE 4;PLACE JASMIN;47330;CASTILLONNES;47;AQUITAINE;205;576;De 10 à 20 000 entrées
FRANCOIS TRUFFAUT;1 RUE DE LA CHAPELLE;57500;SAINT-AVOLD;57;LORRAINE;205;292;De 10 à 20 000 entrées
AGNES VARDA;8 AV DE BOURGOGNE;60000;BEAUVAIS;60;PICARDIE;205;497;De 10 à 20 000 entrées
ESPACE JEAN-MARIE POIRIER (EX-CENTRE CULTUREL);ESPLANADE DU 18 JUIN 1940;94370;SUCY-EN-BRIE;94;ILE-DE-FRANCE;205;366;De 20 à 30 000 entrées
EVEIL CINEMA;RUE DU COURS;12130;SAINT-GENIEZ-D OLT;12;MIDI-PYRENEES;204;138;De 2 à 5 000 entrées
LE DAUPHIN;PLACE ANTOINE CHANOZ;38510;MORESTEL;38;RHONE-ALPES;204;667;De 20 à 30 000 entrées
LE SULLY;22 BD JEANNE D ARC;45600;SULLY-SUR-LOIRE;45;CENTRE;204;743;De 10 à 20 000 entrées
CINE'FIL;PLACE SAINT JEAN;49310;VIHIERS;49;PAYS-DE-LA-LOIRE;204;292;De 10 à 20 000 entrées
ARIANE;IMMEUBLE CERES;73300;VILLAREMBERT;73;RHONE-ALPES;204;190;De 2 à 5 000 entrées
L'ARCHIPEL 1;17 BD DE STRASBOURG;75010;PARIS 10ME;75;ILE-DE-FRANCE;204;2 291;De 20 à 30 000 entrées
CINEMA SORANO;1 RUE CHARLES PATHE;94300;VINCENNES;94;ILE-DE-FRANCE;204;7;Moins de 2000 entrées
FAMILIA;BD DE LA PLAGE;35800;SAINT-LUNAIRE;35;BRETAGNE;203;173;De 5 à 10 000 entrées
STELLA CINE;9 RUE DU PRESBYTERE;49150;BAUGE;49;PAYS-DE-LA-LOIRE;203;300;De 5 à 10 000 entrées
DONJON;PLACE SAINTE ANNE;50260;BRICQUEBEC;50;BASSE-NORMANDIE;203;277;De 5 à 10 000 entrées
CAP CINEMA LE COLISEE 3;10 BD OMER SARRAUT;11000;CARCASSONNE;11;LANGUEDOC-ROUSSILLON;202;3 198;De 40 à 50 000 entrées
LUX LOUIS DELLUC;PLACE DU GENERAL DE GAULLE;24480;LE BUISSON-DE-CADOUIN;24;AQUITAINE;202;688;De 20 à 30 000 entrées
ROCAMADOUR;RUE DU ROZ;29129;CAMARET-SUR-MER;29;BRETAGNE;202;548;De 10 à 20 000 entrées
LE COLISEE;7 BD GABRIEL COUSIN;42330;SAINT-GALMIER;42;RHONE-ALPES;202;830;De 30 à 40 000 entrées
ESPACE BORIS VIAN;  2 RUE DU PRIEURE;49450;SAINT-MACAIRE-EN-MAUGES;49;PAYS-DE-LA-LOIRE;202;265;De 10 à 20 000 entrées
CINE SELECT;25 ROUTE DEREALMONT;81360;MONTREDON-LABESSONNIE;81;MIDI-PYRENEES;202;76;De 2 à 5 000 entrées
TICKY HOLGADO;389 CHEMIN DE BLAZA;31660;BESSIERES;31;MIDI-PYRENEES;201;181;De 2 à 5 000 entrées
CINEMA DE PRA LOUP;PRA LOU;04400;UVERNET FOURS;04;PROVENCE-ALPES-COTE D'AZUR;200;390;De 5 à 10 000 entrées
